Sensitive Cells	Resistant Cells
1019.5	50.475
1039.176604875	50.94443011875
1059.023620260774	51.40796277224281
1079.0345961174419	51.86527177287083
1099.2028331789822	52.316032918367895
1119.5213901736192	52.75992458768655
1139.9830918070666	53.19662834181668
1160.5805374967103	53.62582952747548
1181.306110840883	54.047217881532845
1202.1519898034355	54.46048813398213
1223.1101575898956	54.86534060722453
1244.1724141876334	55.2614818094063
1265.3303885386636	55.64862501953276
1286.5755513100532	56.02649086208169
1307.8992282233787	56.39480786885163
1329.2926139013323	56.75331302580825
1350.7467861864495	57.101752302733985
1372.2527208840274	57.43988116354291
1393.801306878673	57.767465055193675
1415.3833615715762	58.08427987321855
1436.9896465835727	58.390112401984815
1458.6108836673511	58.68476072791631
1480.2377707708117	58.96803462402618
1501.8609981925847	59.23975590424646
1523.4712647700917	59.49975874618507
1545.0592940402869	59.74788998109457
1566.615850313347	59.984009349998665
1588.1317546000867	60.20798972509111
1609.5979003347672	60.41971729569504
1631.0052688362096	60.61909171824831
1652.3449444517357	60.806026229960544
1673.608129330403	60.98044772596822
1694.786157774263	61.14229679999511
1715.8705101189469	61.29152774870365
1736.8528260977153	61.42810854009865
1757.7249176462135	61.5520207465154
1778.4787811084798	61.66325944288965
1799.1066088082714	61.76183307116457
1819.600799953439	61.8477632718403
1839.9539708448826	61.9210846838121
1860.1589643655207	61.981844713774116
1880.2088587286698	62.03010327658599
1900.0969754692273	62.06593250810776
1919.8168866650478	62.089416452105574
1939.362421379877	62.10065072291474
1958.7276713231167	62.099742145618364
1977.906995725515	62.086808375558675
1996.8950254335982	62.061977499044346
2015.6866662292275	62.02538761715018
2034.2771013840854	61.97718641452671
2052.6617934621386	61.917530715145794
2070.836485386166	61.846586026905115
2088.7972007872745	61.76452607700049
2106.5402436589493	61.67153233994942
2124.0621973395487	61.56779356011466
2141.3599228493194	61.45350527053189
2158.4305566098974	61.328869309792914
2175.271507575915	61.194093338674676
2191.880453809761	61.049390358137146
2208.255338531691	60.894978230238856
2224.3943656784377	60.73107920344006
2240.295995004154	60.55791944367969
2255.9589367580074	60.37572857252521
2271.3821459729998	60.184739213604445
2286.5648164006425	59.98518654843622
2301.50637412598	59.7773078826836
2316.2064708971334	59.56134222375939
2330.66497720305	59.33752987061972
2344.881975132501	59.106112016488716
2358.8577510465866	58.86733036516517
2372.592788096106	58.62142676147236
2386.0877586141105	58.36864283632456
2399.343516412866	58.10921966679878
2412.361089013214	57.84339745151846
2425.141669833077	57.5714152015778
